order_id,order_date,customer_id,product_id,quantity,unit_price,discount,channel,province,category,net_sales
ORD000003,2026-01-26 14:00:00,C0119,P031,3,1415.5,0.05,Web,ขอนแก่น,Smart Home,4034.18
ORD000004,2026-01-18 16:18:00,C0065,P003,2,25900.0,0.0,Mobile App,ขอนแก่น,Smartphone,51800.0
ORD000005,2026-01-08 17:43:00,C0129,P007,2,23310.0,0.05,Mobile App,กรุงเทพมหานคร,Notebook,44289.0
ORD000006,2026-01-23 11:50:00,C0097,P037,2,27195.0,0.0,Mobile App,เชียงใหม่,Smart Home,54390.0
ORD000007,2026-01-24 07:03:00,C0139,P001,1,284.05,0.0,Web,ระยอง,Notebook,284.05
ORD000010,2026-01-07 03:12:00,C0100,P017,2,990.0,0.1,Mobile App,กรุงเทพมหานคร,Smartphone,1782.0
ORD000011,2026-01-12 14:34:00,C0120,P028,2,313.95,0.0,Web,ขอนแก่น,Smartphone,627.9
ORD000012,2026-01-08 22:35:00,C0141,P008,2,449.1,0.05,Marketplace,กรุงเทพมหานคร,Accessory,853.29
ORD000013,2026-01-27 22:41:00,C0110,P002,2,1341.0,0.0,Mobile App,เชียงใหม่,Smartphone,2682.0
ORD000015,2026-01-04 13:47:00,C0151,P018,2,4189.5,0.0,Web,ชลบุรี,Smartphone,8379.0
ORD000016,2026-01-18 06:47:00,C0072,P006,1,313.95,0.0,Mobile App,เชียงใหม่,Accessory,313.95
ORD000017,2026-01-27 00:37:00,C0048,P019,2,3591.0,0.0,Mobile App,กรุงเทพมหานคร,Smartphone,7182.0
ORD000018,2026-01-05 02:59:00,C0037,P001,3,299.0,0.0,Marketplace,ภูเก็ต,Notebook,897.0
ORD000020,2026-01-08 21:53:00,C0115,P007,1,25900.0,0.0,Web,ระยอง,Notebook,25900.0
ORD000023,2026-01-10 02:59:00,C0071,P034,1,299.0,0.1,Web,ชลบุรี,Accessory,269.1
ORD000024,2026-01-28 11:43:00,C0042,P033,1,13545.0,0.0,Marketplace,ระยอง,Smart Home,13545.0
ORD000026,2026-01-04 19:15:00,C0107,P008,1,499.0,0.0,Mobile App,ระยอง,Accessory,499.0
ORD000028,2026-01-08 05:59:00,C0139,P013,4,523.95,0.0,Mobile App,ระยอง,Smart Home,2095.8
ORD000030,2026-01-10 12:26:00,C0003,P006,1,299.0,0.05,Mobile App,ขอนแก่น,Accessory,284.05
ORD000031,2026-01-16 18:33:00,C0087,P027,1,24605.0,0.0,Web,กรุงเทพมหานคร,Smartphone,24605.0
ORD000032,2026-01-01 14:52:00,C0085,P035,1,25900.0,0.0,Mobile App,กรุงเทพมหานคร,Accessory,25900.0
ORD000035,2026-01-16 21:39:00,C0045,P033,3,12900.0,0.0,Marketplace,เชียงใหม่,Smart Home,38700.0
